population_id,weight_g,source,as_of_date,weight_date,current_count,current_biomass_kg,sample_size,population_name,fishgroup,environment,batch_label,input_project_id,input_project_name,year_class
B843676D-D366-49B4-859F-8BC72ABA2AB9,185.0,status,2026-02-04,2025-08-13,39524.0,7311.94,,Benchmark Gen. Juni 2024,242.0306,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
A5C3E1EA-3236-44DE-A33A-8BE9C75CA90E,118.44,status,2026-02-04,2025-07-18,208041.0,24640.8,,Benchmark Gen. Juni 2024,242.0292,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
04955EFD-5CD0-49EE-A8C9-8C350D6A3EAD,79.73,status,2026-02-04,2025-05-12,145797.0,11625.1,,Benchmark Gen. Juni 2024,242.0223,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
7D6C1D73-622A-42C1-ADD9-8D2BF9F78DD9,3.0,status,2026-02-04,2024-12-04,84674.0,254.022,,Benchmark Gen. Juni 2024,242.0053,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
EEB1F348-F962-4E5F-829D-8D673B6E32CA,7.49,status,2026-02-04,2024-12-05,96663.0,723.992,,Benchmark Gen. Juni 2024,242.0083,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
6AA05A6D-BDFA-4614-A980-8D87B1BD22B1,8.44,status,2026-02-04,2024-12-05,89973.0,759.145,,Benchmark Gen. Juni 2024,242.0089,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
9C6FDC0D-303C-455C-96BD-8E0D19275FBF,42.48,status,2026-02-04,2025-02-11,197523.0,8390.7,,Benchmark Gen. Juni 2024,242.0149,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
1BA30189-E63D-461E-B965-8F2F6A4D5D60,0.1,status,2026-02-04,2024-09-04,87054.0,8.7054,,Benchmark Gen. Juni 2024,242.0031,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
02B2509B-BD7C-4B08-8BD2-8F38496F8A8E,0.1,status,2026-02-04,2024-09-04,85949.0,8.5949,,Benchmark Gen. Juni 2024,242.0002,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
639DEE5B-CB6B-4328-A003-8F75922AE5A1,17.0,status,2026-02-04,2025-01-22,133337.0,2266.73,,Benchmark Gen. Juni 2024,242.0109,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
B5FCB885-4C99-4590-899F-8FA70C5D7173,6.36,status,2026-02-04,2024-12-05,231599.0,1472.44,,Benchmark Gen. Juni 2024,242.0046,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
F3B93F67-C820-4CD2-86AB-9065C80C768D,52.27,status,2026-02-04,2025-02-26,192527.0,10063.5,,Benchmark Gen. Juni 2024,242.0128,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
51681043-C078-4D31-8496-916AD2F9FC55,51.29,status,2026-02-04,2025-04-01,160073.0,8209.48,,Benchmark Gen. Juni 2024,242.0183,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
9F040EBB-C2B1-40B1-8CBB-91D7A67A87A0,9.5,status,2026-02-04,2024-12-04,21046.0,199.937,,Benchmark Gen. Juni 2024,242.0054,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
